model,epoch,train_accuracy,val_accuracy,train_loss,val_loss
MobileNetV2_feature_extraction,1,0.10285714268684387,0.1804979294538498,3.2679028511047363,2.7532925605773926
MobileNetV2_feature_extraction,2,0.22207792103290558,0.28215768933296204,2.6492979526519775,2.5107262134552
MobileNetV2_feature_extraction,3,0.32181817293167114,0.3381742835044861,2.3156282901763916,2.323220729827881
MobileNetV2_feature_extraction,4,0.37584415078163147,0.3838174343109131,2.1061758995056152,2.228482484817505
MobileNetV2_feature_extraction,5,0.4171428680419922,0.3921161890029907,1.9495772123336792,2.1282544136047363
MobileNetV2_feature_extraction,6,0.4527272582054138,0.4066390097141266,1.840901255607605,2.0412991046905518
MobileNetV2_feature_extraction,7,0.47220778465270996,0.4273858964443207,1.7568695545196533,1.970870852470398
MobileNetV2_feature_extraction,8,0.5070129632949829,0.4585062265396118,1.6532152891159058,1.9253556728363037
MobileNetV2_feature_extraction,9,0.5210389494895935,0.46265560388565063,1.5946297645568848,1.8834987878799438
MobileNetV2_feature_extraction,10,0.5425974130630493,0.47095435857772827,1.5383957624435425,1.8493201732635498
MobileNetV2_feature_extraction,11,0.5488311648368835,0.46265560388565063,1.49072265625,1.7981990575790405
MobileNetV2_feature_extraction,12,0.5703896284103394,0.4605809152126312,1.4195979833602905,1.7736471891403198
MobileNetV2_feature_extraction,13,0.5807791948318481,0.4564315378665924,1.4124072790145874,1.7660542726516724
MobileNetV2_feature_extraction,14,0.5774025917053223,0.46887966990470886,1.3677922487258911,1.7547590732574463
MobileNetV2_feature_extraction,15,0.6015584468841553,0.46680498123168945,1.3222650289535522,1.734666347503662
MobileNetV2_feature_extraction,16,0.6051948070526123,0.46473029255867004,1.3051408529281616,1.7301479578018188
MobileNetV2_feature_extraction,17,0.6038960814476013,0.4730290472507477,1.2859197854995728,1.7186366319656372
MobileNetV2_feature_extraction,18,0.6283116936683655,0.4792531132698059,1.2456966638565063,1.712315559387207
MobileNetV2_feature_extraction,19,0.6168830990791321,0.4792531132698059,1.2730422019958496,1.7302953004837036
MobileNetV2_feature_extraction,20,0.621558427810669,0.4792531132698059,1.2226208448410034,1.705318808555603
MobileNetV2_fine_tuned,1,0.635064959526062,0.48547717928886414,1.1813465356826782,1.7019144296646118
MobileNetV2_fine_tuned,2,0.6475324630737305,0.48755186796188354,1.172446846961975,1.6987230777740479
MobileNetV2_fine_tuned,3,0.6496104001998901,0.4834024906158447,1.1667516231536865,1.7070080041885376
MobileNetV2_fine_tuned,4,0.6407791972160339,0.4958506226539612,1.1737589836120605,1.6940451860427856
MobileNetV2_fine_tuned,5,0.6376623511314392,0.48962655663490295,1.1516849994659424,1.7008932828903198
MobileNetV2_fine_tuned,6,0.6342856884002686,0.4937759339809418,1.1716210842132568,1.6919862031936646
MobileNetV2_fine_tuned,7,0.6249350905418396,0.4958506226539612,1.1754311323165894,1.6897497177124023
MobileNetV2_fine_tuned,8,0.649350643157959,0.4958506226539612,1.1520062685012817,1.701900601387024
MobileNetV2_fine_tuned,9,0.6594805121421814,0.49170124530792236,1.1290615797042847,1.6990609169006348
MobileNetV2_fine_tuned,10,0.6503896117210388,0.4813278019428253,1.1408472061157227,1.6991528272628784
